ID;Estado;Cidade;Nome;Categoria;Endereco;Site;Fonte;Telefones;Emails;WhatsApp;Instagram;Facebook;LinkedIn;Distancia (km)
11444;PR;Guarapuava;"Os Especialistas em Andrologia de Guarapuava";LABORATORIO_ANDROLOGIA;"";https://www.acessomedico.com.br/852/especialidade/andrologia/guarapuava;serper;"55419987592";"";"api.whatsapp.com/send?phone=5541998759270";"instagram.com/guiaacessomedico";"facebook.com/guiaacessomedico";"linkedin.com/company/acesso-m";198
11446;PR;Guarapuava;"Histocenter | Laboratório De Anatomia Patológica E ...";OUTROS;"";https://histocenter.com.br/;serper;"4236232332";"histocenter@histocenter.com.br";"";"";"";"";198
11448;PR;Guarapuava;"Laboratório Goes Guarapuava PR: Estrutura para exames ...";OUTROS;"";https://laboratoriogoes.com.br/glossario/laboratorio-goes-guarapuava-pr-exames-geneticos-complexidade/;serper;"4236239003,55429101703";"";"wa.me/554291017034";"instagram.com/laboratoriogoes";"";"";198
11450;PR;Guarapuava;"Genomas Paraná - IPEC";OUTROS;"";https://ipec.org.br/genomas-parana/;serper;"4233032610,55423303261";"";"api.whatsapp.com/send?phone=554233032610";"instagram.com/ipecguarapuava";"facebook.com/InstitutoParaPesquisadoCancer";"linkedin.com/company/ipec-guarapuava";198
11455;PR;Guarapuava;"Novo espaço do Laboratório Municipal agiliza exames em ...";OUTROS;"";https://guarapuava.pr.gov.br/noticias/novo-espaco-do-laboratorio-municipal-agiliza-exames-em-guarapuava/;serper;"4231421000";"";"";"instagram.com/guarapuava_pref";"facebook.com/PrefeituraGuarapuava";"";198
11457;PR;Guarapuava;"Biolab Laboratório de Análises Clínicas - Guarapuava, PR";LABORATORIO_ANALISES;"";https://www.biolabguarapuava.com.br/;serper;"4236232632,42984430602,75642793000";"bio-lab@hotmail.com";"wa.me/42984430602,wa.me/5542984430602";"instagram.com/biolabguarapuava";"";"";198
11459;PR;Guarapuava;"Laboratório Goes - Guarapuava";LABORATORIO_ANALISES;"";https://laboratoriogoes.com.br/;serper;"4236239003,55423622115,55429101703";"";"wa.me/554236221158,wa.me/554291017034";"instagram.com/laboratoriogoes";"";"";198
11460;PR;Guarapuava;"Lab Mestre - Grupo Plátano - Gestão Eficiente para ...";LABORATORIO_ANALISES;"";https://laboratorioplatano.com.br/lab-mestre/;serper;"42998252815,55429982528";"";"";"instagram.com/mestrelaboratorio";"facebook.com/mestrelaboratorio";"";198
11461;PR;Guarapuava;"Laboratório Aliança – Compromisso com a Vida | Guarapuava ...";OUTROS;"";https://www.aliancaanalises.com.br/;serper;"";"laboratorio@aliancaanalises.com.br";"";"instagram.com/laboratorio.alianca";"facebook.com/Lab.Alianca.Guarapuava";"";198
11462;PR;Guarapuava;"Guarapuava-PR - LABORATORIO DE ANALISES ...";OUTROS;"";https://www.sodretox.com.br/exame-toxicologico-guarapuava-pr-laboratorio-de-analises-clinicas-op-guarapuavapr-cnh-empregado-clt-concurso-publico;serper;"08007778547";"";"";"instagram.com/sodrelaboratorio";"facebook.com/sodrelaboratorio";"";198
11463;RS;Porto Alegre;"Generar Reprodução Humana | Porto Alegre | Clínica ...";REPRODUCAO_HUMANA;"";https://www.generar.com.br/;serper;"5133112149,5133115699,51995644531";"";"";"instagram.com/generar_reproducaohumana";"facebook.com/generarreproducaohumana";"";319
11464;RS;Porto Alegre;"Fertilitat - Centro de Medicina Reprodutiva: Início";REPRODUCAO_HUMANA;"";https://fertilitat.com.br/;serper;"5133391142,555130175363,555133391142";"";"";"instagram.com/fertilitatrs";"facebook.com/fertilitat";"";319
11465;RS;Porto Alegre;"· Projeto Maternus · Acesso Facilitado para Tratamentos de ...";REPRODUCAO_HUMANA;"";https://projetomaternus.org/;serper;"05133300034,5133300034,55519813567";"contato@projetomaternus.org";"api.whatsapp.com/send?phone=5551981356722";"instagram.com/projetomaternus";"facebook.com/projetomaternus";"";319
11466;RS;Porto Alegre;"Nilo Frantz - Clínica de Reprodução Assistida e Fertilidade";REPRODUCAO_HUMANA;"";https://nilofrantz.com.br/;serper;"";"";"";"instagram.com/nilofrantz";"facebook.com/centronilofrantz";"linkedin.com/company/nilo-frantz-medicina-reprodutiva";319
11467;RS;Porto Alegre;"Dra. Fernanda Pacheco – Reprodução Humana";REPRODUCAO_HUMANA;"";http://drafernandapacheco.com.br/;serper;"55519951205";"contato@drafernandapacheco.com.br";"api.whatsapp.com/send?phone=5551995120558";"instagram.com/drafernandapacheco";"facebook.com/drafernandapacheco.com.br";"linkedin.com/in/fernanda-pacheco-07815a27";319
11468;RS;Porto Alegre;"Clínica Progest Reprodução Assistida: Home";REPRODUCAO_HUMANA;"";https://www.clinicaprogest.com.br/;serper;"";"";"";"instagram.com/clinicaprogest";"facebook.com/clinicaprogest";"";319
11469;RS;Porto Alegre;"Clínica Insemine";REPRODUCAO_HUMANA;"";https://insemine.com/;serper;"5133311388,55519939765,5551993976504";"contato@insemine.com,vale@insemine.com";"api.whatsapp.com/send?phone=5551993976504,wa.me/";"instagram.com/clinicainsemine";"facebook.com/insemine";"";319
11475;RS;Porto Alegre;"Instituto de Fertilidade Nilo Frantz";REPRODUCAO_HUMANA;"";https://institutodefertilidade.com.br/;serper;"5130121201,5130122001";"";"";"";"";"";319
11481;RS;Porto Alegre;"Life Genomics | Exames e testes genéticos para análise de ...";LABORATORIO_GENETICA;"";https://lifegenomics.com.br/;serper;"55513414774";"";"api.whatsapp.com/send?phone=555134147745";"instagram.com/lifegenomicsbr";"facebook.com/Lifegenomicsbr";"linkedin.com/company/lifegenomicsbr";319
11482;RS;Porto Alegre;"Diagnose Genética e Biologia Molecular";LABORATORIO_GENETICA;"";https://www.grupodiagnose.com.br/exames/genetica;serper;"5432238547,5434526081,54992704698";"diagnose@grupodiagnose.com.br,diagnosebento@grupodiagnose.com.br,privacidade@grupodiagnose.com.br";"api.whatsapp.com/send?phone=555432238547,api.whatsapp.com/send?phone=555492704698";"instagram.com/grupodiagnose";"facebook.com/grupodiagnose";"";319
11483;RS;Porto Alegre;"GENEX | Instituto de Exames Genéticos";OUTROS;"";https://genex.com.br/;serper;"5133280657,5133289275,55519980411";"";"wa.me/5551998041103";"instagram.com/genex_instituto";"";"";319
11484;RS;Porto Alegre;"Exames de genética";LABORATORIO_GENETICA;"";https://analysislaboratorio.com.br/exames-de-genetica/;serper;"5133658449,51982574586";"";"";"instagram.com/analysis.laboratorio";"facebook.com/AnalysisLaboratorio";"";319
11485;RS;Porto Alegre;"Nova unidade do laboratório Igenomix em Porto Alegre";OUTROS;"";https://www.igenomix.com.br/press-and-news/igenomix-porto-alegre/;serper;"1125001570,551125001570";"atendimentoaocliente@igenomix.com,enteryour@addresshere.com,infobrasil@igenomix.com";"";"instagram.com/igenomixbrasil";"facebook.com/sharer.php";"linkedin.com/company/igenomix-brasil";319
11486;RS;Porto Alegre;"Weinmann e Fleury Genômica › Notícias";OUTROS;"";https://www.weinmann.com.br/noticias/weinmann-e-fleury-genomica;serper;"1441969335,55514004308";"";"api.whatsapp.com/send?phone=555140043080";"instagram.com/laboratorioweinmann";"facebook.com/LaboratorioWeinmann,facebook.com/sharer";"";319
11487;RS;Porto Alegre;"Ctg - Células, Tecidos e Genes - PNIPE/MCTI";HOSPITAL;"";https://pnipe.mcti.gov.br/laboratory/26779;serper;"";"";"";"";"";"";319
11488;RS;Porto Alegre;"Genética Médica - Portal Hospital de Clínicas de Porto ...";LABORATORIO_GENETICA;"";https://www.hcpa.edu.br/assistencia-servicos-medicos-genetica-medica;serper;"";"";"";"";"";"";319
11489;RS;Porto Alegre;"Citogenética - Laboratórios de Pesquisa - WordPress.com";LABORATORIO_GENETICA;"";https://laboratoriosufcspa.wordpress.com/citogenetica/;serper;"27559275367,72556799162,77183253343";"mariluf@ufcspa.edu.br,paulozen@ufcspa.edu.br,rosa@ufcspa.edu.br";"";"";"";"";319
11490;RS;Porto Alegre;"CTN Diagnósticos";OUTROS;"";https://www.ctn.com.br/;serper;"55513339500";"";"api.whatsapp.com/send?phone=555133395000";"";"";"";319
11492;RS;Porto Alegre;"LabCitoEvol - Laboratório de Citogenética e Evolução";LABORATORIO_GENETICA;"";https://pnipe.mcti.gov.br/laboratory/14425;serper;"";"";"";"";"";"";319
11493;RS;Porto Alegre;"Laboratórios Públicos";LABORATORIO_GENETICA;"";https://www.sbgm.org.br/clinicas.aspx?tipo=1;serper;"";"";"";"instagram.com/sbgm_genetica";"facebook.com/sociedadebrasileirageneticamedica";"linkedin.com/company/sociedade-brasileira-de-gen";319
11495;RS;Porto Alegre;"KTZ Laboratório | Testes Moleculares e Laboratoriais";LABORATORIO_GENETICA;"";https://ktzlaboratorio.com.br/;serper;"5133920884,51997747174,55513392088";"";"";"instagram.com/laboratorioktz";"";"";319
11496;RS;Porto Alegre;"Exame de Cariótipo - Banda G";LABORATORIO_GENETICA;"";https://analysislaboratorio.com.br/cariotipo-banda-g/;serper;"5133658449,51982574586,55519825745";"";"api.whatsapp.com/send?phone=5551982574586";"instagram.com/analysis.laboratorio";"facebook.com/AnalysisLaboratorio";"";319
11497;RS;Porto Alegre;"Andrologia Moinhos: Saúde e Performance Masculina";LABORATORIO_ANDROLOGIA;"";https://andrologiamoinhos.com.br/;serper;"5131108741,51999691030,5551999691030";"contato@andrologiamoinhos.com.br";"";"instagram.com/andrologiamoinhos";"facebook.com/people";"";319
11498;RS;Porto Alegre;"CAU - Clínica de Andrologia e Urologia";LABORATORIO_ANDROLOGIA;"";https://www.medcenter.com.br/clinica-porto-alegre-rs/andrologia-e-urologia;serper;"555133789999";"";"wa.me/";"instagram.com/medcenter.poa";"facebook.com/medceneter.poa,facebook.com/medcenter.poa";"";319
11499;RS;Porto Alegre;"| Dr. Vagner Comin | Cirurgia Urológica | Andrologia | Porto ...";LABORATORIO_ANDROLOGIA;"";https://uroandrologia.com.br/;serper;"05121657710,05130512264,55519955769";"";"api.whatsapp.com/send?phone=5551984733315,api.whatsapp.com/send?phone=5551995576995";"instagram.com/urovagnercomin";"";"";319
11500;RS;Porto Alegre;"ANDROLOGIA, Especialidades";LABORATORIO_ANDROLOGIA;"";http://www.centroclinicopucrs.com.br/especialidades.php?esp=andrologia;serper;"";"";"";"";"";"";319
11501;RS;Porto Alegre;"Hospital São Lucas da PUCRS conta com novo serviço de ...";LABORATORIO_ANDROLOGIA;"";https://hospitalsaolucas.pucrs.br/hospital-sao-lucas-da-pucrs-conta-com-novo-servico-de-andrologia-voltado-a-saude-do-homem;serper;"1769289798,555133203000,555133203200";"";"";"instagram.com/hslpucrs";"facebook.com/SaoLucasdaPUCRS";"linkedin.com/company/hsl-pucrs";319
11502;RS;Porto Alegre;"Centro de Medicina Sexual";OUTROS;"";https://www.santacasa.org.br/servicos/centro-de-medicina-sexual;serper;"";"";"";"";"";"";319
11503;RS;Porto Alegre;"Espermatologia e Andrologia";LABORATORIO_ANDROLOGIA;"";https://www.minitube.com/catalog/pt/minitube/pesquisa-e-desenvolvimento/espermatologia-e-andrologia-863/;serper;"00498709922,00613534286,8006464882";"info.canada@minitube.com,minitube@minitube.de,order@minitube.com";"";"instagram.com/minitubeinternational";"facebook.com/minitubeinternational";"linkedin.com/company/minitube-international";319
11504;RS;Porto Alegre;"Clínica DR. Sérgio Iankowski";OUTROS;"";https://www.clinicadrsergioiankowski.com.br/;serper;"5133329595,51999140026,55519991400";"";"wa.me/5551999140026";"instagram.com/clinicasergioiankowski";"facebook.com/dr.sergioiankowski";"";319
11505;RS;Porto Alegre;"Laboratório Senhor dos Passos";OUTROS;"";https://senhordospassos.com.br/;serper;"5130867570,55519935119";"";"";"instagram.com/labsenhordospassos";"facebook.com/labsenhordospassos";"";319
11506;RS;Porto Alegre;"LABORATÓRIO CLÍNICO";OUTROS;"";https://hsl.pucrs.br/exames/interna/laboratorioclinico;serper;"1769289803,555133203000,555133203200";"";"";"instagram.com/hslpucrs";"facebook.com/SaoLucasdaPUCRS";"linkedin.com/company/hsl-pucrs";319
11507;RS;Porto Alegre;"Laboratorio Analysis: Exames De Sangue | Rio Grande do Sul";LABORATORIO_GENETICA;"";https://analysislaboratorio.com.br/;serper;"5133658449,51982574586,55519825745";"";"api.whatsapp.com/send?phone=5551982574586";"instagram.com/analysis.laboratorio";"facebook.com/AnalysisLaboratorio";"";319
11508;RS;Porto Alegre;"Laboratório";LABORATORIO_GENETICA;"";https://www.maededeus.com.br/exames/laboratorio;serper;"5132306000,5132523900,5133217200";"";"wa.me/555132306001";"instagram.com/hospitalmaededeus";"facebook.com/HospitalMaedeDeus";"linkedin.com/company/588620";319
11509;RS;Porto Alegre;"Laboratório Qualitá: Página Inicial";LABORATORIO_ANALISES;"";https://www.laboratorioqualita.com.br/;serper;"";"";"";"";"";"";319
11510;RS;Porto Alegre;"Laboratório - Unimed Porto Alegre";OUTROS;"";https://www.unimed.coop.br/site/web/portoalegre/laboratorio-unimed;serper;"";"";"";"";"";"";319
11511;RS;Porto Alegre;"iNova Patologia Molecular: Home";OUTROS;"";https://www.inovamolecular.com.br/;serper;"";"";"";"";"";"";319
11512;RS;Porto Alegre;"Biologia Molecular";LABORATORIO_GENETICA;"";https://ctn.com.br/biologia_molecular.php;serper;"";"";"";"";"";"";319
11513;RS;Porto Alegre;"Grupo Diagnose: Patologia, Citologia, Genética e Biologia ...";LABORATORIO_GENETICA;"";https://www.grupodiagnose.com.br/;serper;"5432238547,5434526081,54992704698";"diagnose@grupodiagnose.com.br,diagnosebento@grupodiagnose.com.br,privacidade@grupodiagnose.com.br";"api.whatsapp.com/send?phone=555432238547,api.whatsapp.com/send?phone=555492704698";"instagram.com/grupodiagnose";"facebook.com/grupodiagnose";"";319
11514;RS;Porto Alegre;"Conheça o Centro de Imagem Molecular do InsCer";OUTROS;"";https://inscer.pucrs.br/br/noticias/interna/conheca-o-centro-de-imagem-molecular-do-inscer;serper;"1769289810,5133205900,55513320590";"";"";"instagram.com/inscer.pucrs";"facebook.com/inscerpucrs";"";319
11516;RS;Porto Alegre;"Exame Biologia Molecular";LABORATORIO_GENETICA;"";https://anatocenter.com.br/exames/biologia-molecular/4;serper;"5533478997,5591297240,5596771366";"contato@anatocenter.com.br,ouvidoria@anatocenter.com.br";"api.whatsapp.com/send?phone=555591297240";"instagram.com/anatocenter";"facebook.com/anatocenter";"";319
11517;RS;Porto Alegre;"Diagnósticos do Brasil: Referência em Apoio Laboratorial ...";OUTROS;"";https://www.diagnosticosdobrasil.com.br/;serper;"08006430376";"sac.ura@dbdiagnosticos.com.br";"";"instagram.com/db.diagnosticos";"facebook.com/db.diagnosticos";"linkedin.com/company/dbdiagnosticos";319
11519;SC;Laurentino;"· FertiBC · Centro de Reprodução Assistida · Balneário ...";REPRODUCAO_HUMANA;"";https://fertibc.com.br/;serper;"04731702030,55479966270";"atendimento@fertibc.com.br,educacaocontinuada@fertibc.com.br";"api.whatsapp.com/send?phone=5547996627020";"instagram.com/fertibc";"";"";175
11520;SC;Laurentino;"Centro Catarinense de Reproducao Humana S/s Ltda.";OUTROS;"";https://www.econodata.com.br/consulta-empresa/10717207000135-fertilizar-centro-catarinense-de-reproducao-humana-ss-ltda;serper;"10717207000,78491172000,78504271000";"";"";"";"";"";175
11521;SC;Laurentino;"Feliccità Instituto de Fertilidade Brasil Curitiba";REPRODUCAO_HUMANA;"";https://redlara.com/centro.asp?USIM5=138;serper;"52462624405";"info@redlara.com";"";"instagram.com/feliccita.instituto,instagram.com/redlaraoficial";"facebook.com/instituto.feliccita";"linkedin.com/company/feliccita---instituto-de-fertilidade";175
11522;SC;Laurentino;"Clínica Gaia - Centro de reprodução assistida em Criciúma - SC";REPRODUCAO_HUMANA;"";https://www.clinicagaia.com.br/;serper;"55489994714";"contato@clinicagaia.com.br";"wa.me/5548999471497";"instagram.com/clinica_gaia";"facebook.com/clinicagaia.com.br";"";175
11523;SC;Laurentino;"Equipe – Feliccita – Instituto de Fertilidade - Curitiba";REPRODUCAO_HUMANA;"";https://feliccita.com.br/equipe/;serper;"55413334444";"contato@feliccita.com.br";"api.whatsapp.com/send?phone=554133344443,wa.me/554133344443";"instagram.com/feliccita.instituto";"";"";175
11524;SC;Laurentino;"Gaia Centro de Reproducao Assistida Ltda em Criciúma, SC";OUTROS;"";https://www.econodata.com.br/consulta-empresa/07250036000172-gaia-centro-de-reproducao-assistida-ltda;serper;"07250036000,63549485000,79372066000";"";"";"";"";"";175
11525;SC;Laurentino;"FIV em Florianópolis: onde fazer?";REPRODUCAO_HUMANA;"";https://fecondare.com.br/artigos/fiv-em-florianopolis-onde-fazer/;serper;"4830242523,48988014840,5548988014840";"contato@fecondare.com.brRua";"api.whatsapp.com/send?phone=5548988014840";"instagram.com/fecondare";"facebook.com/fecondare";"";175
11526;SC;Laurentino;"Flavia Burim – Reprodução Humana";REPRODUCAO_HUMANA;"";https://draflaviaburim.com.br/;serper;"55489920872";"";"api.whatsapp.com/send?phone=5548992087273";"instagram.com/draflaviaburim";"";"";175
11527;SC;Laurentino;"Fertilização in vitro (FIV) em Criciúma";REPRODUCAO_HUMANA;"";https://clinicagera.com.br/parceiro/fertilizacao-in-vitro-fiv-em-criciuma/;serper;"11950635906,55119506359";"contato@clinicagera.com.br";"wa.me/5511950635906";"instagram.com/clinicagera";"facebook.com/clinicagera";"";175
11529;SC;Laurentino;"Centro de fertilização In Vitro (FIV), biópsia embrionária.";REPRODUCAO_HUMANA;"";https://www.clinicagaia.com.br/quem-somos/;serper;"55489994714";"contato@clinicagaia.com.br";"wa.me/5548999471497";"instagram.com/clinica_gaia";"facebook.com/clinicagaia.com.br";"";175
11531;SC;Laurentino;"Dr. JOSÉ MAURO DOS SANTOS especialista em Cirurgia ...";HOSPITAL;"";https://medguias.com.br/especialistas/sc/florianopolis/medicina/cirurgia-geral/dr-jose-mauro-dos-santos/;serper;"04832236069,04833240200,04899679377";"";"wa.me/554839536700,wa.me/5548996793777";"";"";"";175
11532;SC;Laurentino;"Exames de imagem em Santo Amaro da Imperatriz";OUTROS;"";https://www.clinicaimperatriz.com.br/exames-imagem-santo-amaro-da-imperatriz;serper;"4832456007,55483245600";"clinicaimperatriz@clinicaimperatriz.com.br";"wa.me/554832456007";"instagram.com/clinicaimperatriz";"";"";175
11533;SC;Laurentino;"Inseminação Artificial em Laurentino / SC";OUTROS;"";https://clinicaconsulta.com.br/inseminacao-artificial-em-laurentino-sc;serper;"";"";"";"instagram.com/clinicaconsulta";"";"";175
11535;SC;Laurentino;"Laboratório Elisa - Rio do Oeste / SC";LABORATORIO_ANALISES;"";https://www.laboratorioelisa.com.br/;serper;"4735430337,4735430958,4735461355";"elisalaboratorio@gmail.com";"api.whatsapp.com/send?phone=554735430337";"instagram.com/elisalaboratorio";"";"";175
11536;SC;Laurentino;"Laboratorio de Analises Clinicas Lummertz Ltda em ...";OUTROS;"";https://www.econodata.com.br/consulta-empresa/85788255000970-laboratorio-de-analises-clinicas-lummertz-ltda;serper;"05164985000,85788255000,85788255001";"";"";"";"";"";175
11537;SC;Laurentino;"Laboratório Luz - Rio do Sul/SC - Laboratório Luz";OUTROS;"";https://laboratorioluz.com.br/;serper;"4735213191,55479883925";"";"wa.me/5547988392507";"instagram.com/luzlaboratorio";"facebook.com/laboratorioluz";"";175
11538;SC;Laurentino;"Laboratório Luz";OUTROS;"";https://caasc.org.br/convenio?convenio=8505;serper;"4831122979,55483239354";"";"api.whatsapp.com/send?phone=554832393543";"instagram.com/caasc_santacatarina";"facebook.com/caasc.sc";"";175
11539;SC;Laurentino;"LABORATORIO DE ANALISES CLINICAS NOSSA ...";OUTROS;"";https://empresas.serasaexperian.com.br/consulta-gratis/LABORATORIO-DE-ANALISES-CLINICAS-NOSSA-SENHORA-DE-FATIMA-LTDA-36142968000604;serper;"29397972722";"";"";"instagram.com/serasa_experian";"facebook.com/serasaexperian";"linkedin.com/company/serasaexperian";175
11540;SC;Laurentino;"Laboratórios Clínicos em Laurentino, SC";OUTROS;"";https://www.solutudo.com.br/empresas/sc/laurentino/laboratorios+clinicos?pagina=1;serper;"";"";"";"";"";"";175
11541;SC;Laurentino;"Laboratorio Nossa Senhora de Fatima Laurentino em ...";OUTROS;"";https://www.econodata.com.br/consulta-empresa/36142968000604-laboratorio-de-analises-clinicas-nossa-senhora-de-fatima-ltda;serper;"36142968000,63538418000,80069859000";"";"";"";"";"";175
11542;SC;Laurentino;"LABORATORIO ELISA em Laurentino - SC | Laboratorios.net.br";OUTROS;"";https://laboratorios.net.br/sobre/laboratorio-elisa-ltda-laurentino-sc-27373398;serper;"04735461355";"";"";"";"";"";175
11544;SC;Laurentino;"Laurentino";OUTROS;"";https://sindemcoocred.com.br/laurentino/;serper;"4733786957";"contato@sindemcoocred.com.br";"";"";"";"";175
11545;SC;Laurentino;"Citogene | Laboratório de Diagnóstico de Doenças Genéticas";LABORATORIO_GENETICA;"";https://citogene.com.br/;serper;"55419841639";"citogene@citogene.com.br";"api.whatsapp.com/send?phone=5541984163962";"instagram.com/citogenelab";"facebook.com/citogene";"";175
11547;SC;Laurentino;"OLLIN Análises Genômicas";OUTROS;"";https://www.ollin.com.br/;serper;"1155555214,551155555214,55119883799";"atendimento@ollin.com.br,imprensa@ollin.com.br";"";"instagram.com/ollin.co";"facebook.com/profile.php";"linkedin.com/company/ollingenoma";175
11548;SC;Laurentino;"Clinimol – Diagnóstico Molecular";LABORATORIO_GENETICA;"";https://clinimol.com/;serper;"55113284021,55119789564,55119986718";"clinimol@clinimol.com.br";"api.whatsapp.com/send?phone=5511978956470,api.whatsapp.com/send?phone=5511998671874";"instagram.com/clinimol";"facebook.com/clinimol";"linkedin.com/company/clinimol";175
11549;SC;Laurentino;"Encontre um laboratório";OUTROS;"";https://www.dbmolecular.com.br/laboratorios;serper;"";"";"";"instagram.com/db.alta";"facebook.com/MolecularDB";"linkedin.com/company/db-molecular";175
11555;SC;Laurentino;"Laboratórios que oferecem exames de DNA em Santa ...";OUTROS;"";https://labvital.com.br/glossario/laboratorios-que-oferecem-exames-de-dna-em-santa-catarina/;serper;"4832453657,48991613657,55489916136";"";"wa.me/5548991613657";"instagram.com/labvital";"";"linkedin.com/company/10939060";175
11558;SC;Laurentino;"Análises Microbiológicas e Físico-Químicas Laurentino, SC";OUTROS;"";https://www.lsanalyses.com.br/santa-catarina/laurentino/;serper;"01149021481,55114996194";"comercial@lsanalyses.com.br";"wa.me/551149961947";"instagram.com/lsanalyses";"facebook.com/lsanalyses.oficial";"";175
11559;SC;Laurentino;"especialização em análises clínicas e diagnóstico laboratorial";LABORATORIO_ANALISES;"";https://escolaconceito.com.br/curso/especializacao-em-analises-clinicas-e-diagnostico-laboratorial/santa-catarina/laurentino;serper;"5430217250,555430217250,5554991258380";"";"api.whatsapp.com/send?phone=5554991258380";"";"facebook.com/sharer.php";"";175
11560;SC;Laurentino;"Biogenetika em Florianópolis, SC - 09.815.503/0001-90";OUTROS;"";https://www.econodata.com.br/consulta-empresa/09815503000190-biogenetika-diagnostico-molecular-e-perfil-genetico-ltda;serper;"09815503000,63552355000,72366818000";"";"";"";"";"";175
